id	cat	subcat	maintenance	dwh_create_date
AC_BR	Accessories	Bike Racks	Yes	06:37.2
AC_BS	Accessories	Bike Stands	No	06:37.2
AC_BC	Accessories	Bottles and Cages	No	06:37.2
AC_CL	Accessories	Cleaners	Yes	06:37.2
AC_FE	Accessories	Fenders	No	06:37.2
AC_HE	Accessories	Helmets	Yes	06:37.2
AC_HP	Accessories	Hydration Packs	No	06:37.2
AC_LI	Accessories	Lights	Yes	06:37.2
AC_LO	Accessories	Locks	Yes	06:37.2
AC_PA	Accessories	Panniers	No	06:37.2
AC_PU	Accessories	Pumps	Yes	06:37.2
AC_TT	Accessories	Tires and Tubes	Yes	06:37.2
BI_MB	Bikes	Mountain Bikes	Yes	06:37.2
BI_RB	Bikes	Road Bikes	Yes	06:37.2
BI_TB	Bikes	Touring Bikes	Yes	06:37.2
CL_BS	Clothing	Bib-Shorts	No	06:37.2
CL_CA	Clothing	Caps	No	06:37.2
CL_GL	Clothing	Gloves	No	06:37.2
CL_JE	Clothing	Jerseys	No	06:37.2
CL_SH	Clothing	Shorts	No	06:37.2
CL_SO	Clothing	Socks	No	06:37.2
CL_TI	Clothing	Tights	No	06:37.2
CL_VE	Clothing	Vests	No	06:37.2
CO_BB	Components	Bottom Brackets	Yes	06:37.2
CO_BR	Components	Brakes	Yes	06:37.2
CO_CH	Components	Chains	Yes	06:37.2
CO_CS	Components	Cranksets	Yes	06:37.2
CO_DE	Components	Derailleurs	Yes	06:37.2
CO_FO	Components	Forks	Yes	06:37.2
CO_HB	Components	Handlebars	No	06:37.2
CO_HS	Components	Headsets	No	06:37.2
CO_MF	Components	Mountain Frames	Yes	06:37.2
CO_PD	Components	Pedals	No	06:37.2
CO_RF	Components	Road Frames	Yes	06:37.2
CO_SA	Components	Saddles	No	06:37.2
CO_TF	Components	Touring Frames	Yes	06:37.2
CO_WH	Components	Wheels	Yes	06:37.2
